,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Shade,1.1,none,,,
2,Range: 2. european countries where introduced,2.1,"Au, Be, Co, De, Es, Ge, Gr, Li, Ne, No, Ro, Sl,","Tu, Sw, Uk",,
3,Stems: 1. woodiness,3.01,not woody,,,
4,Stems: 2. support,3.02,self supporting,,,
5,Height: 1. extreme maximum (cm),3.03,250,,,
6,Height: 3. typical maximum (cm),3.05,150,,,
7,Height: 4. typical minimum (cm),3.06,50,,,
8,Spread,3.07,ht > width,,,
9,Heterophylly,3.08,none,,,
10,Leaf shape: 1. type,3.09,simple,,,
11,Leaf shape: 2. outline,3.1,entire,,,
12,Leaf shape: 3. pointed/round,3.11,obtuse,Subacute,,
13,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as wide,,2.5-15 x 2-8 cm,
14,Leaf shape: 5. leaf base,3.13,cuneate,,,
15,Leaf shape: 6. petiole,3.14,petiolate,,,
16,Leaf shape: 7. minimum petiole length (mm),3.15,1,,,
17,Leaf shape: 8. maximum petiole length (mm),3.16,8,-15,,
18,Leaf area (cm2),3.17,1-10,,,
19,Leaf longevity: 1. type,3.22,aestival,,,
20,Carnivory,4.06,does not kill inse ts,,,
21,Nutrition,4.07,autotrophic,,,
22,Life-form,5.01,Therophyte,,,
23,Longevity of stems (yrs),5.02,>1,,,
24,Mono/poly-carpic,5.04,monocarpic,,,
25,Flowering time: 1. earliest month,5.07,7,,,
26,Flowering time: 2. latest month,5.08,9,,,
27,Flowering time: 3. peak month,5.09,8,,,
28,Pollen vector,5.15,wind,,,
29,Dicliny,5.16,gynoandromonoecious,,,
30,Chromosome number(s): 1. number,5.25,32,,,
31,Chromosome number(s): 1. number,5.25,34,,,
32,Chromosome number(s): 1. number,5.25,64,,,
33,2C DNA content (pg),5.26,1.25,2n=32,,
34,Time of seed dispersal (season),5.28,autumn,,910,
35,Seed size - length of longest axis (mm),5.31,1,+- 0.25,,
36,Seed weight: 3. mean (mg),5.34,0.5,,,
37,Seed production: 1. maximum (/flower),5.35,1,,,
38,Seed production: 2. typical range (/flower),5.36,1,,,
39,Normal method of propagation,5.52,seed,,,
40,Flower colour,5.58,red,"purple, white, silver, green, yellow",,
41,Petal no,5.59,5,34,,
42,Petal (sepal) size (cm),5.6,0.175,(0.1-)0.15-0.2(-0.25),,
43,Stigma number,5.61,3,2,,
44,Stamen number,5.62,5,,,
45,Sepal number,5.63,0,,,
46,Carpel/Style number,5.64,3,,,
47,Inflorescence type,5.65,spicate cyme,,,
48,Physical defences on leaves,6.02,glabrous,Sometimes pilose on margins and veins of lower surfaces,,
49,Physical defences on stems,6.03,glabrous,Pubescent,,
